code5,selected_fpocket_number,overlap_score,pdb_id,chain_id,instance_id,rcsb_entity_id,rcsb30_cluster_id,mapping_status
1bdaA,2,0.8564,1BDA,A,1BDA.A,1BDA_1,RCSB30_784,mapped
1bdgA,1,0.5707,1BDG,A,1BDG.A,1BDG_1,RCSB30_1141,mapped
1bdiB,1,0.6787,1BDI,B,1BDI.B,1BDI_2,RCSB30_985,mapped
1bdoA,1,1.0,1BDO,A,1BDO.A,1BDO_1,RCSB30_6383,mapped
1be2A,1,0.9249,1BE2,A,1BE2.A,1BE2_1,RCSB30_1950,mapped
1bevA,1,0.7251,1BEV,A,1BEV.A,1BEV_1,RCSB30_19,mapped
1bfvB,1,0.9596,1BFV,B,1BFV.B,1BFV_2,RCSB30_2,mapped
1bggB,1,0.6196,1BGG,B,1BGG.B,1BGG_1,RCSB30_1388,mapped
1bgpA,1,0.7897,1BGP,A,1BGP.A,1BGP_1,RCSB30_2932,mapped
1bgvA,1,0.4654,1BGV,A,1BGV.A,1BGV_1,RCSB30_1558,mapped
1bh6A,1,0.6802,1BH6,A,1BH6.A,1BH6_1,RCSB30_459,mapped
1bhyA,1,0.9437,1BHY,A,1BHY.A,1BHY_1,RCSB30_4505,mapped
1bi9D,2,0.9296,1BI9,D,1BI9.D,1BI9_1,RCSB30_68,mapped
1bibA,1,0.7418,1BIB,A,1BIB.A,1BIB_1,RCSB30_5223,mapped
1bifA,3,0.4943,1BIF,A,1BIF.A,1BIF_1,RCSB30_3531,mapped
1binA,1,0.8749,1BIN,A,1BIN.A,1BIN_1,RCSB30_2183,mapped
1bj4A,1,0.7431,1BJ4,A,1BJ4.A,1BJ4_1,RCSB30_144,mapped
1bk9A,1,0.7716,1BK9,A,1BK9.A,1BK9_1,RCSB30_263,mapped
1bkcA,1,0.8329,1BKC,A,1BKC.A,1BKC_1,RCSB30_4664,mapped
1bmdB,1,0.7546,1BMD,B,1BMD.B,1BMD_1,RCSB30_838,mapped
1bobA,1,0.9797,1BOB,A,1BOB.A,1BOB_1,RCSB30_20667,mapped
1booA,1,0.7526,1BOO,A,1BOO.A,1BOO_1,RCSB30_91951,mapped
1bpwA,2,0.7759,1BPW,A,1BPW.A,1BPW_1,RCSB30_1061,mapped
1bq4C,2,0.7211,1BQ4,C,1BQ4.C,1BQ4_1,RCSB30_337,mapped
1bqsA,1,0.5295,1BQS,A,1BQS.A,1BQS_1,RCSB30_21414,mapped
1bqyB,1,0.7991,1BQY,B,1BQY.B,1BQY_1,RCSB30_8448,mapped
1br1A,1,0.8225,1BR1,A,1BR1.A,1BR1_1,RCSB30_538,mapped
1br2D,3,0.852,1BR2,D,1BR2.D,1BR2_1,RCSB30_538,mapped
1br8B,1,0.6387,1BR8,B,1BR8.B,1BR8_1,RCSB30_360,mapped
1brdA,1,0.7694,1BRD,A,1BRD.A,1BRD_1,RCSB30_780,mapped
1bruA,2,0.6016,1BRU,A,1BRU.A,1BRU_1,RCSB30_1853,mapped
1bsvA,1,0.5889,1BSV,A,1BSV.A,1BSV_1,RCSB30_7227,mapped
1bx9A,1,0.841,1BX9,A,1BX9.A,1BX9_1,RCSB30_4672,mapped
1bxkB,1,0.7953,1BXK,B,1BXK.B,1BXK_1,RCSB30_4354,mapped
1byeC,3,0.5912,1BYE,C,1BYE.C,1BYE_1,RCSB30_24090,mapped
1c0pA,1,0.9092,1C0P,A,1C0P.A,1C0P_1,RCSB30_24996,mapped
1c1jB,1,0.8189,1C1J,B,1C1J.B,1C1J_1,RCSB30_263,mapped
1c1lA,1,0.6466,1C1L,A,1C1L.A,1C1L_1,RCSB30_14837,mapped
1c1yA,1,0.9346,1C1Y,A,1C1Y.A,1C1Y_1,RCSB30_1427,mapped
1c21A,1,0.9643,1C21,A,1C21.A,1C21_1,RCSB30_1898,mapped
1c2rA,1,0.9057,1C2R,A,1C2R.A,1C2R_1,RCSB30_1265,mapped
1c3xA,1,0.6752,1C3X,A,1C3X.A,1C3X_1,RCSB30_4716,mapped
1c5fA,2,0.5939,1C5F,A,1C5F.A,1C5F_1,RCSB30_29108,mapped
1c6oB,1,0.9543,1C6O,B,1C6O.B,1C6O_1,RCSB30_3267,mapped
1c6sA,1,0.8385,1C6S,A,1C6S.A,1C6S_1,RCSB30_3267,mapped
1c7gD,2,0.8315,1C7G,D,1C7G.D,1C7G_1,RCSB30_1645,mapped
1c7nF,1,0.7869,1C7N,F,1C7N.F,1C7N_1,RCSB30_6233,mapped
1c7sA,1,0.6808,1C7S,A,1C7S.A,1C7S_1,RCSB30_22839,mapped
1c80A,1,0.5732,1C80,A,1C80.A,1C80_1,RCSB30_3531,mapped
1c8uA,1,0.5373,1C8U,A,1C8U.A,1C8U_1,RCSB30_6531,mapped
1c9kB,5,0.7525,1C9K,B,1C9K.B,1C9K_1,RCSB30_10692,mapped
1cbfA,1,0.762,1CBF,A,1CBF.A,1CBF_1,RCSB30_1266,mapped
1cbrA,2,0.6042,1CBR,A,1CBR.A,1CBR_1,RCSB30_211,mapped
1cbvC,3,0.671,1CBV,C,1CBV.C,1CBV_3,RCSB30_1,mapped
1cc5A,1,0.8802,1CC5,A,1CC5.A,1CC5_1,RCSB30_25711,mapped
1cc7A,1,1.0,1CC7,A,1CC7.A,1CC7_1,RCSB30_10813,mapped
1ccrA,1,0.9253,1CCR,A,1CCR.A,1CCR_1,RCSB30_4061,mapped
1cdoA,2,0.7105,1CDO,A,1CDO.A,1CDO_1,RCSB30_434,mapped
1cebA,1,1.0,1CEB,A,1CEB.A,1CEB_1,RCSB30_158,mapped
1cenA,3,0.9622,1CEN,A,1CEN.A,1CEN_1,RCSB30_30414,mapped
1cerH,2,0.6189,1CER,H,1CER.H,1CER_1,RCSB30_304,mapped
1cf2C,1,0.8404,1CF2,C,1CF2.C,1CF2_1,RCSB30_3780,mapped
1cfaA,2,0.8052,1CFA,A,1CFA.A,1CFA_1,RCSB30_3266,mapped
1cfmA,1,0.9654,1CFM,A,1CFM.A,1CFM_1,RCSB30_4500,mapped
1cfsB,1,0.7481,1CFS,B,1CFS.B,1CFS_2,RCSB30_1,mapped
1cg5B,1,0.8062,1CG5,B,1CG5.B,1CG5_2,RCSB30_95,mapped
1cg6A,1,0.8282,1CG6,A,1CG6.A,1CG6_1,RCSB30_1321,mapped
1cg8A,1,0.933,1CG8,A,1CG8.A,1CG8_1,RCSB30_95,mapped
1cghA,2,0.6936,1CGH,A,1CGH.A,1CGH_1,RCSB30_2120,mapped
1cguA,3,0.9509,1CGU,A,1CGU.A,1CGU_1,RCSB30_2963,mapped
1cgzA,1,0.7726,1CGZ,A,1CGZ.A,1CGZ_1,RCSB30_323,mapped
1chmB,2,0.8427,1CHM,B,1CHM.B,1CHM_1,RCSB30_36151,mapped
1ci3A,1,0.9647,1CI3,A,1CI3.A,1CI3_1,RCSB30_1287,mapped
1ci7B,6,0.4368,1CI7,B,1CI7.B,1CI7_1,RCSB30_121,mapped
1ci9A,1,0.5182,1CI9,A,1CI9.A,1CI9_1,RCSB30_21293,mapped
1civA,1,0.8394,1CIV,A,1CIV.A,1CIV_1,RCSB30_7603,mapped
1cjaB,1,0.8555,1CJA,B,1CJA.B,1CJA_1,RCSB30_98756,mapped
1ckmA,1,0.8573,1CKM,A,1CKM.A,1CKM_1,RCSB30_45017,mapped
1cl6A,1,0.9581,1CL6,A,1CL6.A,1CL6_1,RCSB30_6917,mapped
1cm0A,1,0.84,1CM0,A,1CM0.A,1CM0_1,RCSB30_3992,mapped
1cm8A,2,0.7629,1CM8,A,1CM8.A,1CM8_1,RCSB30_286,mapped
1co6A,1,0.8725,1CO6,A,1CO6.A,1CO6_1,RCSB30_8755,mapped
1corA,1,0.8808,1COR,A,1COR.A,1COR_1,RCSB30_5606,mapped
1covA,1,0.8023,1COV,A,1COV.A,1COV_1,RCSB30_19,mapped
1cprA,1,0.8425,1CPR,A,1CPR.A,1CPR_1,RCSB30_2723,mapped
1cptA,1,0.6773,1CPT,A,1CPT.A,1CPT_1,RCSB30_305,mapped
1cqpB,1,0.9408,1CQP,B,1CQP.B,1CQP_1,RCSB30_2385,mapped
1csvA,1,1.0,1CSV,A,1CSV.A,1CSV_1,RCSB30_502,mapped
1ct5A,1,0.527,1CT5,A,1CT5.A,1CT5_1,RCSB30_10453,mapped
1ctjA,1,0.9777,1CTJ,A,1CTJ.A,1CTJ_1,RCSB30_3267,mapped
1ctuA,2,0.8599,1CTU,A,1CTU.A,1CTU_1,RCSB30_1518,mapped
1cv8A,3,0.6796,1CV8,A,1CV8.A,1CV8_1,RCSB30_9015,mapped
1cvrA,2,0.9177,1CVR,A,1CVR.A,1CVR_1,RCSB30_23597,mapped
1cw0D,2,0.4401,1CW0,D,1CW0.D,1CW0_4,RCSB30_23816,mapped
1cwpD,3,0.4229,1CWP,D,1CWP.D,1CWP_3,RCSB30_16272,mapped
1cxyA,1,0.9475,1CXY,A,1CXY.A,1CXY_1,RCSB30_1639,mapped
1cy6A,3,0.8531,1CY6,A,1CY6.A,1CY6_1,RCSB30_6234,mapped
1cydA,1,0.8822,1CYD,A,1CYD.A,1CYD_1,RCSB30_2630,mapped
1cyiA,1,0.9777,1CYI,A,1CYI.A,1CYI_1,RCSB30_3267,mapped
1cz2A,1,0.8641,1CZ2,A,1CZ2.A,1CZ2_1,RCSB30_1950,mapped
1cziA,1,0.7977,1CZI,A,1CZI.A,1CZI_1,RCSB30_464,mapped
1cznA,1,0.973,1CZN,A,1CZN.A,1CZN_1,RCSB30_2475,mapped
1d00D,3,0.5794,1D00,D,1D00.D,1D00_1,RCSB30_4727,mapped
1d06A,1,0.9575,1D06,A,1D06.A,1D06_1,RCSB30_61023,mapped
1d1sB,1,0.8863,1D1S,B,1D1S.B,1D1S_1,RCSB30_434,mapped
1d2aB,1,0.8213,1D2A,B,1D2A.B,1D2A_1,RCSB30_4799,mapped
1d2eB,1,0.6691,1D2E,B,1D2E.B,1D2E_1,RCSB30_1519,mapped
1d2fA,2,0.8947,1D2F,A,1D2F.A,1D2F_1,RCSB30_6233,mapped
1d5cA,1,0.8182,1D5C,A,1D5C.A,1D5C_1,RCSB30_28676,mapped
1d6uB,2,0.8131,1D6U,B,1D6U.B,1D6U_1,RCSB30_4065,mapped
1d7aD,3,0.8539,1D7A,D,1D7A.D,1D7A_1,RCSB30_332,mapped
1d9uA,1,0.5908,1D9U,A,1D9U.A,,SINGLETON_1d9uA,missing_entity
1d9zA,1,0.5241,1D9Z,A,1D9Z.A,1D9Z_1,RCSB30_399,mapped
1daeA,2,0.7196,1DAE,A,1DAE.A,1DAE_1,RCSB30_2200,mapped
1daoG,1,0.9446,1DAO,G,1DAO.G,1DAO_1,RCSB30_3091,mapped
1dapA,1,0.7315,1DAP,A,1DAP.A,1DAP_1,RCSB30_7075,mapped
1dbjB,1,0.9513,1DBJ,B,1DBJ.B,1DBJ_2,RCSB30_1,mapped
1dbtC,1,0.8658,1DBT,C,1DBT.C,1DBT_1,RCSB30_483,mapped
1ddlC,2,0.7795,1DDL,C,1DDL.C,1DDL_3,RCSB30_22503,mapped
1de5B,1,0.9707,1DE5,B,1DE5.B,1DE5_1,RCSB30_1316,mapped
1de9H,1,0.7209,1DE9,H,1DE9.H,1DE9_4,RCSB30_2659,mapped
1delA,2,0.8424,1DEL,A,1DEL.A,1DEL_1,RCSB30_88247,mapped
1dfiD,1,0.7599,1DFI,D,1DFI.D,1DFI_1,RCSB30_1340,mapped
1dfpB,1,0.757,1DFP,B,1DFP.B,1DFP_1,RCSB30_2120,mapped
1dg1A,1,0.9721,1DG1,A,1DG1.A,1DG1_1,RCSB30_41,mapped
1dgmA,1,0.724,1DGM,A,1DGM.A,1DGM_1,RCSB30_5030,mapped
1dhiB,2,0.8652,1DHI,B,1DHI.B,1DHI_1,RCSB30_899,mapped
1dilA,2,0.8094,1DIL,A,1DIL.A,1DIL_1,RCSB30_12784,mapped
1diqB,1,0.922,1DIQ,B,1DIQ.B,1DIQ_2,RCSB30_54458,mapped
1dirB,1,0.8037,1DIR,B,1DIR.B,1DIR_1,RCSB30_6331,mapped
1dj2B,1,0.7737,1DJ2,B,1DJ2.B,1DJ2_1,RCSB30_243,mapped
1dj3B,1,0.8727,1DJ3,B,1DJ3.B,1DJ3_1,RCSB30_243,mapped
1djeA,3,0.9093,1DJE,A,1DJE.A,1DJE_1,RCSB30_970,mapped
1djlA,1,0.9223,1DJL,A,1DJL.A,1DJL_1,RCSB30_1792,mapped
1dk0A,1,0.812,1DK0,A,1DK0.A,1DK0_1,RCSB30_3868,mapped
1dk8A,1,0.5108,1DK8,A,1DK8.A,1DK8_1,RCSB30_6274,mapped
1dl5A,1,0.7167,1DL5,A,1DL5.A,1DL5_1,RCSB30_76080,mapped
1dlhD,2,1.0,1DLH,D,1DLH.D,1DLH_1,RCSB30_542,mapped
1dlwA,1,0.9588,1DLW,A,1DLW.A,1DLW_1,RCSB30_5060,mapped
1dlyA,1,0.7116,1DLY,A,1DLY.A,1DLY_1,RCSB30_5060,mapped
1dmyB,1,0.8384,1DMY,B,1DMY.B,1DMY_1,RCSB30_1286,mapped
1doaA,1,0.859,1DOA,A,1DOA.A,1DOA_1,RCSB30_344,mapped
1dp2A,1,0.6199,1DP2,A,1DP2.A,1DP2_1,RCSB30_10536,mapped
1dppC,2,0.9008,1DPP,C,1DPP.C,1DPP_1,RCSB30_3642,mapped
1dqeA,1,0.9016,1DQE,A,1DQE.A,1DQE_1,RCSB30_4827,mapped
1dr5A,1,0.8472,1DR5,A,1DR5.A,1DR5_1,RCSB30_1132,mapped
1drfA,1,0.8076,1DRF,A,1DRF.A,1DRF_1,RCSB30_1132,mapped
1drkA,2,1.0,1DRK,A,1DRK.A,1DRK_1,RCSB30_11330,mapped
1drmA,1,1.0,1DRM,A,1DRM.A,1DRM_1,RCSB30_7729,mapped
1drvA,1,0.7418,1DRV,A,1DRV.A,1DRV_1,RCSB30_348,mapped
1ds1A,1,0.5776,1DS1,A,1DS1.A,1DS1_1,RCSB30_22753,mapped
1ds5C,1,0.8286,1DS5,C,1DS5.C,1DS5_1,RCSB30_342,mapped
1dsyA,2,0.9062,1DSY,A,1DSY.A,1DSY_1,RCSB30_6101,mapped
1dt1A,1,0.8915,1DT1,A,1DT1.A,1DT1_1,RCSB30_23853,mapped
1dt6A,1,0.8864,1DT6,A,1DT6.A,1DT6_1,RCSB30_426,mapped
1dtdA,1,0.7511,1DTD,A,1DTD.A,1DTD_1,RCSB30_2544,mapped
1dtpA,1,0.9007,1DTP,A,1DTP.A,1DTP_1,RCSB30_10716,mapped
1ducA,1,0.9082,1DUC,A,1DUC.A,1DUC_1,RCSB30_5581,mapped
1dudA,3,0.9017,1DUD,A,1DUD.A,1DUD_1,RCSB30_794,mapped
1dv2B,2,0.8895,1DV2,B,1DV2.B,1DV2_1,RCSB30_1778,mapped
1dvhA,1,1.0,1DVH,A,1DVH.A,1DVH_1,RCSB30_21985,mapped
1dw2C,1,0.9588,1DW2,C,1DW2.C,1DW2_1,RCSB30_37071,mapped
1dxlD,1,0.9057,1DXL,D,1DXL.D,1DXL_1,RCSB30_865,mapped
1dytA,2,0.9499,1DYT,A,1DYT.A,1DYT_1,RCSB30_2067,mapped
1e00A,1,1.0,1E00,A,1E00.A,1E00_1,RCSB30_10517,mapped
1e0jA,1,0.9511,1E0J,A,1E0J.A,1E0J_1,RCSB30_12107,mapped
1e19B,2,0.8288,1E19,B,1E19.B,1E19_1,RCSB30_3368,mapped
1e29A,1,0.77,1E29,A,1E29.A,1E29_1,RCSB30_12201,mapped
1e3eA,1,0.7397,1E3E,A,1E3E.A,1E3E_1,RCSB30_434,mapped
1e5fA,1,0.7833,1E5F,A,1E5F.A,1E5F_1,RCSB30_965,mapped
1e5iA,1,0.8188,1E5I,A,1E5I.A,1E5I_1,RCSB30_9972,mapped
1e5nA,1,0.7717,1E5N,A,1E5N.A,1E5N_1,RCSB30_20711,mapped
1e6aB,1,0.6335,1E6A,B,1E6A.B,1E6A_1,RCSB30_7320,mapped
1e6eC,1,0.8476,1E6E,C,1E6E.C,1E6E_1,RCSB30_6444,mapped
1e6iA,1,0.4521,1E6I,A,1E6I.A,1E6I_1,RCSB30_18903,mapped
1e7uA,3,0.8834,1E7U,A,1E7U.A,1E7U_1,RCSB30_892,mapped
1e8uA,1,0.8937,1E8U,A,1E8U.A,1E8U_1,RCSB30_10863,mapped
1e8xA,3,0.958,1E8X,A,1E8X.A,1E8X_1,RCSB30_892,mapped
1e96A,1,0.8789,1E96,A,1E96.A,1E96_1,RCSB30_344,mapped
1e9aA,3,0.7322,1E9A,A,1E9A.A,1E9A_1,RCSB30_4140,mapped
1e9lA,1,0.5509,1E9L,A,1E9L.A,1E9L_1,RCSB30_1818,mapped
1ea6A,1,0.8202,1EA6,A,1EA6.A,1EA6_1,RCSB30_9581,mapped
1eaxA,1,0.7858,1EAX,A,1EAX.A,1EAX_1,RCSB30_1853,mapped
1eb8A,1,0.9406,1EB8,A,1EB8.A,1EB8_1,RCSB30_4776,mapped
1ebdA,1,0.8636,1EBD,A,1EBD.A,1EBD_1,RCSB30_4505,mapped
1eceB,1,0.8493,1ECE,B,1ECE.B,1ECE_1,RCSB30_23047,mapped
1ecjA,1,0.5522,1ECJ,A,1ECJ.A,1ECJ_1,RCSB30_2446,mapped
1ecmA,1,0.9176,1ECM,A,1ECM.A,1ECM_1,RCSB30_14833,mapped
1ecnA,1,0.8085,1ECN,A,1ECN.A,1ECN_1,RCSB30_6584,mapped
1ecqD,3,0.9722,1ECQ,D,1ECQ.D,1ECQ_1,RCSB30_5202,mapped
1ecxA,2,0.9402,1ECX,A,1ECX.A,1ECX_1,RCSB30_5069,mapped
1edoA,1,0.6003,1EDO,A,1EDO.A,1EDO_1,RCSB30_708,mapped
1ee0A,1,0.7692,1EE0,A,1EE0.A,1EE0_1,RCSB30_323,mapped
1ee9A,5,0.6648,1EE9,A,1EE9.A,1EE9_1,RCSB30_18238,mapped
1eemA,1,0.6178,1EEM,A,1EEM.A,1EEM_1,RCSB30_4394,mapped
1ef9A,1,0.7057,1EF9,A,1EF9.A,1EF9_1,RCSB30_15219,mapped
1efdA,1,0.8612,1EFD,A,1EFD.A,1EFD_1,RCSB30_18886,mapped
1efpC,1,0.8118,1EFP,C,1EFP.C,1EFP_1,RCSB30_5871,mapped
1eh4A,2,0.8991,1EH4,A,1EH4.A,1EH4_1,RCSB30_31007,mapped
1ei1B,1,0.8946,1EI1,B,1EI1.B,1EI1_1,RCSB30_1546,mapped
1eioA,1,0.604,1EIO,A,1EIO.A,1EIO_1,RCSB30_4614,mapped
1ej0A,1,0.6871,1EJ0,A,1EJ0.A,1EJ0_1,RCSB30_486,mapped
1ejeA,2,0.6405,1EJE,A,1EJE.A,1EJE_1,RCSB30_11864,mapped
1ek2A,1,0.8534,1EK2,A,1EK2.A,1EK2_1,RCSB30_805,mapped
1ek5A,1,0.6534,1EK5,A,1EK5.A,1EK5_1,RCSB30_1788,mapped
1eksA,2,0.9063,1EKS,A,1EKS.A,1EKS_1,RCSB30_1169,mapped
1el7A,1,0.8497,1EL7,A,1EL7.A,1EL7_1,RCSB30_2624,mapped
1eljA,1,0.7841,1ELJ,A,1ELJ.A,1ELJ_1,RCSB30_16978,mapped
1emjC,1,0.624,1EMJ,C,1EMJ.C,1EMJ_3,RCSB30_1401,mapped
1enpA,2,0.6646,1ENP,A,1ENP.A,1ENP_1,RCSB30_15784,mapped
1eobB,1,0.7795,1EOB,B,1EOB.B,1EOB_2,RCSB30_3606,mapped
1eomA,1,0.6234,1EOM,A,1EOM.A,1EOM_1,RCSB30_62319,mapped
1ep2B,2,0.8495,1EP2,B,1EP2.B,1EP2_2,RCSB30_3302,mapped
1epbB,1,0.8739,1EPB,B,1EPB.B,1EPB_1,RCSB30_45605,mapped
1epzA,1,0.6468,1EPZ,A,1EPZ.A,1EPZ_1,RCSB30_3536,mapped
1eqcA,1,0.6953,1EQC,A,1EQC.A,1EQC_1,RCSB30_7006,mapped
1ereA,2,1.0,1ERE,A,1ERE.A,1ERE_1,RCSB30_340,mapped
1eseA,1,0.6343,1ESE,A,1ESE.A,1ESE_1,RCSB30_45334,mapped
1etuA,1,0.5155,1ETU,A,1ETU.A,1ETU_1,RCSB30_41,mapped
1eu8A,1,0.9299,1EU8,A,1EU8.A,1EU8_1,RCSB30_7044,mapped
1ev1A,1,0.728,1EV1,A,1EV1.A,1EV1_1,RCSB30_19,mapped
1evhA,2,0.6323,1EVH,A,1EVH.A,1EVH_1,RCSB30_8171,mapped
1ex7A,2,0.9675,1EX7,A,1EX7.A,1EX7_1,RCSB30_11129,mapped
1ex8A,1,0.7623,1EX8,A,1EX8.A,1EX8_1,RCSB30_2503,mapped
1eyrB,1,0.908,1EYR,B,1EYR.B,1EYR_1,RCSB30_20544,mapped
1eyyD,2,0.8757,1EYY,D,1EYY.D,1EYY_1,RCSB30_21708,mapped
1ez4A,3,0.6407,1EZ4,A,1EZ4.A,1EZ4_1,RCSB30_319,mapped
1ezvD,1,0.8799,1EZV,D,1EZV.D,1EZV_4,RCSB30_3268,mapped
1f0xB,1,0.6974,1F0X,B,1F0X.B,1F0X_1,RCSB30_25850,mapped
1f1cA,1,0.6629,1F1C,A,1F1C.A,1F1C_1,RCSB30_1298,mapped
1f1vA,1,1.0,1F1V,A,1F1V.A,1F1V_1,RCSB30_5855,mapped
