"site_index","site_id","label","threshold","element","count","total_atoms","proportion"
16,"1hto","AMP",10,"P",0,411,0
16,"1hto","AMP",10,"S",2,411,0.0048661800486618
17,"1j20","AMP",10,"C",281,441,0.63718820861678
17,"1j20","AMP",10,"N",81,441,0.183673469387755
17,"1j20","AMP",10,"O",78,441,0.17687074829932
17,"1j20","AMP",10,"P",0,441,0
17,"1j20","AMP",10,"S",1,441,0.00226757369614512
18,"1jp4","AMP",10,"C",236,389,0.606683804627249
18,"1jp4","AMP",10,"N",68,389,0.174807197943445
18,"1jp4","AMP",10,"O",82,389,0.210796915167095
18,"1jp4","AMP",10,"P",0,389,0
18,"1jp4","AMP",10,"S",3,389,0.0077120822622108
19,"1k9y","AMP",10,"C",254,412,0.616504854368932
19,"1k9y","AMP",10,"N",74,412,0.179611650485437
19,"1k9y","AMP",10,"O",83,412,0.201456310679612
19,"1k9y","AMP",10,"P",0,412,0
19,"1k9y","AMP",10,"S",1,412,0.00242718446601942
20,"1kht","AMP",10,"C",267,426,0.626760563380282
20,"1kht","AMP",10,"N",82,426,0.192488262910798
20,"1kht","AMP",10,"O",74,426,0.173708920187793
20,"1kht","AMP",10,"P",0,426,0
20,"1kht","AMP",10,"S",3,426,0.00704225352112676
21,"1kpf","AMP",10,"C",194,299,0.648829431438127
21,"1kpf","AMP",10,"N",53,299,0.177257525083612
21,"1kpf","AMP",10,"O",52,299,0.173913043478261
21,"1kpf","AMP",10,"P",0,299,0
21,"1kpf","AMP",10,"S",0,299,0
22,"1ktg","AMP",10,"C",180,285,0.631578947368421
22,"1ktg","AMP",10,"N",49,285,0.171929824561404
22,"1ktg","AMP",10,"O",55,285,0.192982456140351
22,"1ktg","AMP",10,"P",0,285,0
22,"1ktg","AMP",10,"S",1,285,0.00350877192982456
23,"1mb9","AMP",10,"C",268,404,0.663366336633663
23,"1mb9","AMP",10,"N",61,404,0.150990099009901
23,"1mb9","AMP",10,"O",73,404,0.180693069306931
23,"1mb9","AMP",10,"P",0,404,0
23,"1mb9","AMP",10,"S",2,404,0.00495049504950495
24,"1md9","AMP",10,"C",272,423,0.643026004728132
24,"1md9","AMP",10,"N",77,423,0.182033096926714
24,"1md9","AMP",10,"O",74,423,0.174940898345154
24,"1md9","AMP",10,"P",0,423,0
24,"1md9","AMP",10,"S",0,423,0
25,"1obd","AMP",10,"C",187,279,0.670250896057348
25,"1obd","AMP",10,"N",41,279,0.146953405017921
25,"1obd","AMP",10,"O",51,279,0.182795698924731
25,"1obd","AMP",10,"P",0,279,0
25,"1obd","AMP",10,"S",0,279,0
26,"1ore","AMP",10,"C",256,388,0.65979381443299
26,"1ore","AMP",10,"N",63,388,0.162371134020619
26,"1ore","AMP",10,"O",67,388,0.172680412371134
26,"1ore","AMP",10,"P",0,388,0
26,"1ore","AMP",10,"S",2,388,0.00515463917525773
27,"1qb8","AMP",10,"C",229,354,0.646892655367232
27,"1qb8","AMP",10,"N",60,354,0.169491525423729
27,"1qb8","AMP",10,"O",62,354,0.175141242937853
27,"1qb8","AMP",10,"P",0,354,0
27,"1qb8","AMP",10,"S",3,354,0.00847457627118644
28,"1qf6","AMP",10,"C",271,438,0.618721461187215
28,"1qf6","AMP",10,"N",83,438,0.189497716894977
28,"1qf6","AMP",10,"O",77,438,0.175799086757991
28,"1qf6","AMP",10,"P",0,438,0
28,"1qf6","AMP",10,"S",7,438,0.0159817351598174
29,"1ry2","AMP",10,"C",282,444,0.635135135135135
29,"1ry2","AMP",10,"N",73,444,0.164414414414414
29,"1ry2","AMP",10,"O",89,444,0.20045045045045
29,"1ry2","AMP",10,"P",0,444,0
29,"1ry2","AMP",10,"S",0,444,0
30,"1s68","AMP",10,"C",247,380,0.65
30,"1s68","AMP",10,"N",65,380,0.171052631578947
30,"1s68","AMP",10,"O",67,380,0.176315789473684
30,"1s68","AMP",10,"P",0,380,0
30,"1s68","AMP",10,"S",1,380,0.00263157894736842
31,"1ses","AMP",10,"C",262,418,0.626794258373206
31,"1ses","AMP",10,"N",79,418,0.188995215311005
31,"1ses","AMP",10,"O",75,418,0.179425837320574
31,"1ses","AMP",10,"P",0,418,0
31,"1ses","AMP",10,"S",2,418,0.00478468899521531
32,"1tb7","AMP",10,"C",277,438,0.632420091324201
32,"1tb7","AMP",10,"N",78,438,0.178082191780822
32,"1tb7","AMP",10,"O",79,438,0.180365296803653
32,"1tb7","AMP",10,"P",0,438,0
32,"1tb7","AMP",10,"S",4,438,0.0091324200913242
33,"1u9z","AMP",10,"C",55,83,0.662650602409639
33,"1u9z","AMP",10,"N",11,83,0.132530120481928
33,"1u9z","AMP",10,"O",17,83,0.204819277108434
33,"1u9z","AMP",10,"P",0,83,0
33,"1u9z","AMP",10,"S",0,83,0
34,"1ukz","AMP",10,"C",277,432,0.641203703703704
34,"1ukz","AMP",10,"N",82,432,0.189814814814815
34,"1ukz","AMP",10,"O",72,432,0.166666666666667
34,"1ukz","AMP",10,"P",0,432,0
34,"1ukz","AMP",10,"S",1,432,0.00231481481481481
35,"1v26","AMP",10,"C",289,443,0.652370203160271
35,"1v26","AMP",10,"N",74,443,0.167042889390519
35,"1v26","AMP",10,"O",80,443,0.18058690744921
35,"1v26","AMP",10,"P",0,443,0
35,"1v26","AMP",10,"S",0,443,0
36,"1z84","AMP",10,"C",200,325,0.615384615384615
36,"1z84","AMP",10,"N",61,325,0.187692307692308
36,"1z84","AMP",10,"O",60,325,0.184615384615385
36,"1z84","AMP",10,"P",0,325,0
36,"1z84","AMP",10,"S",4,325,0.0123076923076923
37,"1zbu","AMP",10,"C",222,343,0.647230320699708
37,"1zbu","AMP",10,"N",55,343,0.160349854227405
37,"1zbu","AMP",10,"O",63,343,0.183673469387755
37,"1zbu","AMP",10,"P",0,343,0
37,"1zbu","AMP",10,"S",3,343,0.0087463556851312
38,"2a7x","AMP",10,"C",240,374,0.641711229946524
38,"2a7x","AMP",10,"N",67,374,0.179144385026738
38,"2a7x","AMP",10,"O",65,374,0.17379679144385
38,"2a7x","AMP",10,"P",0,374,0
38,"2a7x","AMP",10,"S",2,374,0.0053475935828877
39,"2art","AMP",10,"C",274,443,0.618510158013544
39,"2art","AMP",10,"N",84,443,0.18961625282167
39,"2art","AMP",10,"O",82,443,0.18510158013544
39,"2art","AMP",10,"P",0,443,0
39,"2art","AMP",10,"S",3,443,0.00677200902934537
40,"2c5s","AMP",10,"C",235,370,0.635135135135135
40,"2c5s","AMP",10,"N",65,370,0.175675675675676
40,"2c5s","AMP",10,"O",65,370,0.175675675675676
40,"2c5s","AMP",10,"P",0,370,0
40,"2c5s","AMP",10,"S",5,370,0.0135135135135135
41,"2cfm","AMP",10,"C",288,460,0.626086956521739
41,"2cfm","AMP",10,"N",88,460,0.191304347826087
41,"2cfm","AMP",10,"O",84,460,0.182608695652174
41,"2cfm","AMP",10,"P",0,460,0
41,"2cfm","AMP",10,"S",0,460,0
42,"2d1q","AMP",10,"C",253,400,0.6325
42,"2d1q","AMP",10,"N",69,400,0.1725
42,"2d1q","AMP",10,"O",76,400,0.19
42,"2d1q","AMP",10,"P",0,400,0
42,"2d1q","AMP",10,"S",2,400,0.005
43,"2dcl","AMP",10,"C",114,171,0.666666666666667
43,"2dcl","AMP",10,"N",27,171,0.157894736842105
43,"2dcl","AMP",10,"O",30,171,0.175438596491228
43,"2dcl","AMP",10,"P",0,171,0
43,"2dcl","AMP",10,"S",0,171,0
44,"2dsd","AMP",10,"C",177,282,0.627659574468085
44,"2dsd","AMP",10,"N",52,282,0.184397163120567
44,"2dsd","AMP",10,"O",52,282,0.184397163120567
44,"2dsd","AMP",10,"P",0,282,0
44,"2dsd","AMP",10,"S",1,282,0.00354609929078014
45,"2f17","AMP",10,"C",206,336,0.613095238095238
45,"2f17","AMP",10,"N",61,336,0.181547619047619
45,"2f17","AMP",10,"O",67,336,0.199404761904762
45,"2f17","AMP",10,"P",0,336,0
45,"2f17","AMP",10,"S",2,336,0.00595238095238095
46,"2fjb","AMP",10,"C",264,408,0.647058823529412
46,"2fjb","AMP",10,"N",69,408,0.169117647058824
46,"2fjb","AMP",10,"O",72,408,0.176470588235294
46,"2fjb","AMP",10,"P",0,408,0
46,"2fjb","AMP",10,"S",3,408,0.00735294117647059
47,"2g1u","AMP",10,"C",210,330,0.636363636363636
47,"2g1u","AMP",10,"N",65,330,0.196969696969697
47,"2g1u","AMP",10,"O",53,330,0.160606060606061
47,"2g1u","AMP",10,"P",0,330,0
47,"2g1u","AMP",10,"S",2,330,0.00606060606060606
48,"2gm3","AMP",10,"C",253,392,0.645408163265306
48,"2gm3","AMP",10,"N",68,392,0.173469387755102
48,"2gm3","AMP",10,"O",69,392,0.176020408163265
48,"2gm3","AMP",10,"P",0,392,0
48,"2gm3","AMP",10,"S",2,392,0.00510204081632653
49,"2gsu","AMP",10,"C",264,426,0.619718309859155
49,"2gsu","AMP",10,"N",83,426,0.194835680751174
49,"2gsu","AMP",10,"O",77,426,0.18075117370892
49,"2gsu","AMP",10,"P",0,426,0
49,"2gsu","AMP",10,"S",2,426,0.00469483568075117
50,"2gxq","AMP",10,"C",187,276,0.677536231884058
50,"2gxq","AMP",10,"N",38,276,0.13768115942029
50,"2gxq","AMP",10,"O",51,276,0.184782608695652
50,"2gxq","AMP",10,"P",0,276,0
50,"2gxq","AMP",10,"S",0,276,0
51,"2hbl","AMP",10,"C",190,300,0.633333333333333
51,"2hbl","AMP",10,"N",54,300,0.18
51,"2hbl","AMP",10,"O",53,300,0.176666666666667
51,"2hbl","AMP",10,"P",0,300,0
51,"2hbl","AMP",10,"S",3,300,0.01
52,"2hcr","AMP",10,"C",130,226,0.575221238938053
52,"2hcr","AMP",10,"N",46,226,0.20353982300885
52,"2hcr","AMP",10,"O",48,226,0.212389380530973
52,"2hcr","AMP",10,"P",0,226,0
52,"2hcr","AMP",10,"S",2,226,0.00884955752212389
53,"2ivt","AMP",10,"C",251,388,0.646907216494845
53,"2ivt","AMP",10,"N",67,388,0.172680412371134
53,"2ivt","AMP",10,"O",70,388,0.180412371134021
53,"2ivt","AMP",10,"P",0,388,0
53,"2ivt","AMP",10,"S",0,388,0
54,"2j91","AMP",10,"C",74,120,0.616666666666667
54,"2j91","AMP",10,"N",24,120,0.2
54,"2j91","AMP",10,"O",20,120,0.166666666666667
54,"2j91","AMP",10,"P",0,120,0
54,"2j91","AMP",10,"S",2,120,0.0166666666666667
55,"2j9d","AMP",10,"C",138,213,0.647887323943662
55,"2j9d","AMP",10,"N",33,213,0.154929577464789
55,"2j9d","AMP",10,"O",40,213,0.187793427230047
55,"2j9d","AMP",10,"P",0,213,0
55,"2j9d","AMP",10,"S",2,213,0.00938967136150235
56,"2jgd","AMP",10,"C",222,354,0.627118644067797
56,"2jgd","AMP",10,"N",64,354,0.180790960451977
56,"2jgd","AMP",10,"O",65,354,0.18361581920904
56,"2jgd","AMP",10,"P",0,354,0
56,"2jgd","AMP",10,"S",3,354,0.00847457627118644
57,"2oox","AMP",10,"C",218,339,0.64306784660767
57,"2oox","AMP",10,"N",66,339,0.194690265486726
57,"2oox","AMP",10,"O",54,339,0.15929203539823
57,"2oox","AMP",10,"P",0,339,0
57,"2oox","AMP",10,"S",1,339,0.00294985250737463
58,"2oun","AMP",10,"C",286,456,0.62719298245614
58,"2oun","AMP",10,"N",77,456,0.168859649122807
58,"2oun","AMP",10,"O",86,456,0.18859649122807
58,"2oun","AMP",10,"P",0,456,0
58,"2oun","AMP",10,"S",7,456,0.0153508771929825
59,"2ptq","AMP",10,"C",159,272,0.584558823529412
59,"2ptq","AMP",10,"N",56,272,0.205882352941176
59,"2ptq","AMP",10,"O",57,272,0.209558823529412
59,"2ptq","AMP",10,"P",0,272,0
59,"2ptq","AMP",10,"S",0,272,0
60,"8gpb","AMP",10,"C",154,250,0.616
60,"8gpb","AMP",10,"N",46,250,0.184
60,"8gpb","AMP",10,"O",49,250,0.196
60,"8gpb","AMP",10,"P",0,250,0
60,"8gpb","AMP",10,"S",1,250,0.004
61,"1a0i","ATP",10,"C",238,378,0.62962962962963
61,"1a0i","ATP",10,"N",68,378,0.17989417989418
61,"1a0i","ATP",10,"O",71,378,0.187830687830688
61,"1a0i","ATP",10,"P",0,378,0
61,"1a0i","ATP",10,"S",1,378,0.00264550264550265
62,"1a49","ATP",10,"C",295,486,0.606995884773663
62,"1a49","ATP",10,"N",89,486,0.183127572016461
62,"1a49","ATP",10,"O",99,486,0.203703703703704
62,"1a49","ATP",10,"P",0,486,0
62,"1a49","ATP",10,"S",3,486,0.00617283950617284
63,"1atn","ATP",10,"C",293,480,0.610416666666667
63,"1atn","ATP",10,"N",87,480,0.18125
63,"1atn","ATP",10,"O",97,480,0.202083333333333
63,"1atn","ATP",10,"P",0,480,0
63,"1atn","ATP",10,"S",3,480,0.00625
64,"1ayl","ATP",10,"C",294,466,0.630901287553648
64,"1ayl","ATP",10,"N",81,466,0.17381974248927
64,"1ayl","ATP",10,"O",90,466,0.1931330472103
64,"1ayl","ATP",10,"P",0,466,0
64,"1ayl","ATP",10,"S",1,466,0.00214592274678112
65,"1b0u","ATP",10,"C",156,253,0.616600790513834
65,"1b0u","ATP",10,"N",49,253,0.193675889328063
65,"1b0u","ATP",10,"O",47,253,0.185770750988142
65,"1b0u","ATP",10,"P",0,253,0
65,"1b0u","ATP",10,"S",1,253,0.00395256916996047
66,"1b76","ATP",10,"C",287,451,0.636363636363636
66,"1b76","ATP",10,"N",82,451,0.181818181818182
66,"1b76","ATP",10,"O",80,451,0.177383592017738
66,"1b76","ATP",10,"P",0,451,0
66,"1b76","ATP",10,"S",2,451,0.00443458980044346
67,"1b8a","ATP",10,"C",276,441,0.625850340136054
67,"1b8a","ATP",10,"N",81,441,0.183673469387755
67,"1b8a","ATP",10,"O",84,441,0.19047619047619
67,"1b8a","ATP",10,"P",0,441,0
67,"1b8a","ATP",10,"S",0,441,0
68,"1bcp","ATP",10,"C",124,193,0.642487046632124
68,"1bcp","ATP",10,"N",31,193,0.160621761658031
68,"1bcp","ATP",10,"O",35,193,0.181347150259067
68,"1bcp","ATP",10,"P",0,193,0
68,"1bcp","ATP",10,"S",3,193,0.0155440414507772
69,"1dv2","ATP",10,"C",279,445,0.626966292134831
69,"1dv2","ATP",10,"N",83,445,0.186516853932584
69,"1dv2","ATP",10,"O",81,445,0.182022471910112
69,"1dv2","ATP",10,"P",0,445,0
69,"1dv2","ATP",10,"S",2,445,0.00449438202247191
70,"1dy3","ATP",10,"C",244,385,0.633766233766234
70,"1dy3","ATP",10,"N",74,385,0.192207792207792
70,"1dy3","ATP",10,"O",64,385,0.166233766233766
70,"1dy3","ATP",10,"P",0,385,0
70,"1dy3","ATP",10,"S",3,385,0.00779220779220779
71,"1e24","ATP",10,"C",275,433,0.635103926096998
71,"1e24","ATP",10,"N",76,433,0.175519630484988
71,"1e24","ATP",10,"O",79,433,0.182448036951501
71,"1e24","ATP",10,"P",0,433,0
71,"1e24","ATP",10,"S",3,433,0.0069284064665127
72,"1e2q","ATP",10,"C",205,333,0.615615615615616
72,"1e2q","ATP",10,"N",64,333,0.192192192192192
72,"1e2q","ATP",10,"O",64,333,0.192192192192192
72,"1e2q","ATP",10,"P",0,333,0
72,"1e2q","ATP",10,"S",0,333,0
73,"1e4g","ATP",10,"C",303,471,0.643312101910828
73,"1e4g","ATP",10,"N",75,471,0.159235668789809
73,"1e4g","ATP",10,"O",93,471,0.197452229299363
73,"1e4g","ATP",10,"P",0,471,0
73,"1e4g","ATP",10,"S",0,471,0
74,"1e8x","ATP",10,"C",270,413,0.653753026634383
74,"1e8x","ATP",10,"N",69,413,0.167070217917676
74,"1e8x","ATP",10,"O",71,413,0.171912832929782
74,"1e8x","ATP",10,"P",0,413,0
74,"1e8x","ATP",10,"S",3,413,0.00726392251815981
75,"1esq","ATP",10,"C",232,365,0.635616438356164
75,"1esq","ATP",10,"N",63,365,0.172602739726027
75,"1esq","ATP",10,"O",70,365,0.191780821917808
75,"1esq","ATP",10,"P",0,365,0
75,"1esq","ATP",10,"S",0,365,0
76,"1fmw","ATP",10,"C",283,455,0.621978021978022
76,"1fmw","ATP",10,"N",80,455,0.175824175824176
76,"1fmw","ATP",10,"O",91,455,0.2
76,"1fmw","ATP",10,"P",0,455,0
76,"1fmw","ATP",10,"S",1,455,0.0021978021978022
77,"1g21","ATP",10,"C",246,400,0.615
77,"1g21","ATP",10,"N",73,400,0.1825
77,"1g21","ATP",10,"O",80,400,0.2
77,"1g21","ATP",10,"P",0,400,0
77,"1g21","ATP",10,"S",1,400,0.0025
78,"1g5t","ATP",10,"C",144,233,0.618025751072961
78,"1g5t","ATP",10,"N",46,233,0.197424892703863
78,"1g5t","ATP",10,"O",43,233,0.184549356223176
78,"1g5t","ATP",10,"P",0,233,0
78,"1g5t","ATP",10,"S",0,233,0
79,"1gn8","ATP",10,"C",288,438,0.657534246575342
79,"1gn8","ATP",10,"N",73,438,0.166666666666667
79,"1gn8","ATP",10,"O",76,438,0.17351598173516
79,"1gn8","ATP",10,"P",0,438,0
79,"1gn8","ATP",10,"S",1,438,0.00228310502283105
80,"1h3e","ATP",10,"C",297,470,0.631914893617021
80,"1h3e","ATP",10,"N",86,470,0.182978723404255
80,"1h3e","ATP",10,"O",83,470,0.176595744680851
80,"1h3e","ATP",10,"P",0,470,0
80,"1h3e","ATP",10,"S",4,470,0.00851063829787234
81,"1hi1","ATP",10,"C",207,356,0.581460674157303
81,"1hi1","ATP",10,"N",72,356,0.202247191011236
81,"1hi1","ATP",10,"O",76,356,0.213483146067416
81,"1hi1","ATP",10,"P",0,356,0
81,"1hi1","ATP",10,"S",1,356,0.00280898876404494
82,"1i7l","ATP",10,"C",275,425,0.647058823529412
82,"1i7l","ATP",10,"N",78,425,0.183529411764706
82,"1i7l","ATP",10,"O",71,425,0.167058823529412
82,"1i7l","ATP",10,"P",0,425,0
82,"1i7l","ATP",10,"S",1,425,0.00235294117647059
83,"1ii0","ATP",10,"C",242,386,0.626943005181347
83,"1ii0","ATP",10,"N",66,386,0.170984455958549
83,"1ii0","ATP",10,"O",77,386,0.199481865284974
83,"1ii0","ATP",10,"P",0,386,0
83,"1ii0","ATP",10,"S",1,386,0.00259067357512953
84,"1j09","ATP",10,"C",231,368,0.627717391304348
84,"1j09","ATP",10,"N",68,368,0.184782608695652
84,"1j09","ATP",10,"O",67,368,0.182065217391304
84,"1j09","ATP",10,"P",0,368,0
84,"1j09","ATP",10,"S",2,368,0.00543478260869565
85,"1j7k","ATP",10,"C",278,435,0.639080459770115
85,"1j7k","ATP",10,"N",81,435,0.186206896551724
85,"1j7k","ATP",10,"O",76,435,0.174712643678161
85,"1j7k","ATP",10,"P",0,435,0
85,"1j7k","ATP",10,"S",0,435,0
86,"1ji0","ATP",10,"C",161,258,0.624031007751938
86,"1ji0","ATP",10,"N",47,258,0.182170542635659
86,"1ji0","ATP",10,"O",50,258,0.193798449612403
86,"1ji0","ATP",10,"P",0,258,0
86,"1ji0","ATP",10,"S",0,258,0
87,"1jjv","ATP",10,"C",188,303,0.62046204620462
87,"1jjv","ATP",10,"N",55,303,0.181518151815182
87,"1jjv","ATP",10,"O",59,303,0.194719471947195
87,"1jjv","ATP",10,"P",0,303,0
87,"1jjv","ATP",10,"S",1,303,0.0033003300330033
88,"1kj8","ATP",10,"C",286,462,0.619047619047619
88,"1kj8","ATP",10,"N",86,462,0.186147186147186
88,"1kj8","ATP",10,"O",88,462,0.19047619047619
88,"1kj8","ATP",10,"P",0,462,0
88,"1kj8","ATP",10,"S",2,462,0.00432900432900433
89,"1kmn","ATP",10,"C",281,438,0.641552511415525
89,"1kmn","ATP",10,"N",79,438,0.180365296803653
89,"1kmn","ATP",10,"O",75,438,0.171232876712329
89,"1kmn","ATP",10,"P",0,438,0
89,"1kmn","ATP",10,"S",3,438,0.00684931506849315
90,"1ko5","ATP",10,"C",202,320,0.63125
90,"1ko5","ATP",10,"N",56,320,0.175
90,"1ko5","ATP",10,"O",60,320,0.1875
90,"1ko5","ATP",10,"P",0,320,0
90,"1ko5","ATP",10,"S",2,320,0.00625
91,"1kp2","ATP",10,"C",285,454,0.627753303964758
91,"1kp2","ATP",10,"N",82,454,0.180616740088106
91,"1kp2","ATP",10,"O",84,454,0.185022026431718
91,"1kp2","ATP",10,"P",0,454,0
91,"1kp2","ATP",10,"S",3,454,0.0066079295154185
92,"1kp8","ATP",10,"C",269,434,0.619815668202765
92,"1kp8","ATP",10,"N",75,434,0.172811059907834
92,"1kp8","ATP",10,"O",87,434,0.200460829493088
92,"1kp8","ATP",10,"P",0,434,0
92,"1kp8","ATP",10,"S",3,434,0.00691244239631336
93,"1kvk","ATP",10,"C",250,396,0.631313131313131
93,"1kvk","ATP",10,"N",71,396,0.179292929292929
93,"1kvk","ATP",10,"O",73,396,0.184343434343434
93,"1kvk","ATP",10,"P",0,396,0
93,"1kvk","ATP",10,"S",2,396,0.00505050505050505
94,"1lhr","ATP",10,"C",294,459,0.640522875816993
94,"1lhr","ATP",10,"N",76,459,0.16557734204793
94,"1lhr","ATP",10,"O",84,459,0.183006535947712
94,"1lhr","ATP",10,"P",0,459,0
94,"1lhr","ATP",10,"S",5,459,0.0108932461873638
95,"1m83","ATP",10,"C",319,492,0.648373983739837
95,"1m83","ATP",10,"N",85,492,0.172764227642276
95,"1m83","ATP",10,"O",85,492,0.172764227642276
95,"1m83","ATP",10,"P",0,492,0
95,"1m83","ATP",10,"S",3,492,0.00609756097560976
96,"1miw","ATP",10,"C",222,369,0.601626016260163
96,"1miw","ATP",10,"N",76,369,0.205962059620596
96,"1miw","ATP",10,"O",71,369,0.192411924119241
96,"1miw","ATP",10,"P",0,369,0
96,"1miw","ATP",10,"S",0,369,0
97,"1mjh","ATP",10,"C",281,430,0.653488372093023
97,"1mjh","ATP",10,"N",76,430,0.176744186046512
97,"1mjh","ATP",10,"O",71,430,0.165116279069767
97,"1mjh","ATP",10,"P",0,430,0
97,"1mjh","ATP",10,"S",2,430,0.00465116279069767
98,"1n5i","ATP",10,"C",115,178,0.646067415730337
98,"1n5i","ATP",10,"N",30,178,0.168539325842697
98,"1n5i","ATP",10,"O",32,178,0.179775280898876
98,"1n5i","ATP",10,"P",0,178,0
98,"1n5i","ATP",10,"S",1,178,0.00561797752808989
99,"1nsf","ATP",10,"C",265,402,0.659203980099503
99,"1nsf","ATP",10,"N",70,402,0.174129353233831
99,"1nsf","ATP",10,"O",66,402,0.164179104477612
99,"1nsf","ATP",10,"P",0,402,0
99,"1nsf","ATP",10,"S",1,402,0.00248756218905473
100,"1o9t","ATP",10,"C",134,221,0.606334841628959
100,"1o9t","ATP",10,"N",37,221,0.167420814479638
100,"1o9t","ATP",10,"O",49,221,0.221719457013575
100,"1o9t","ATP",10,"P",0,221,0
100,"1o9t","ATP",10,"S",1,221,0.00452488687782805
101,"1q97","ATP",10,"C",249,389,0.640102827763496
101,"1q97","ATP",10,"N",69,389,0.177377892030848
101,"1q97","ATP",10,"O",70,389,0.179948586118252
101,"1q97","ATP",10,"P",0,389,0
101,"1q97","ATP",10,"S",1,389,0.0025706940874036
102,"1qhg","ATP",10,"C",213,354,0.601694915254237
102,"1qhg","ATP",10,"N",66,354,0.186440677966102
102,"1qhg","ATP",10,"O",75,354,0.211864406779661
102,"1qhg","ATP",10,"P",0,354,0
102,"1qhg","ATP",10,"S",0,354,0
103,"1qhx","ATP",10,"C",222,369,0.601626016260163
103,"1qhx","ATP",10,"N",72,369,0.195121951219512
103,"1qhx","ATP",10,"O",71,369,0.192411924119241
