"site_index","site_id","label","threshold","total_atoms","n_non_CON","pct_non_CON","elements_non_CON_present"
84,"1j09","ATP",10,368,2,0.543478260869565,"S"
85,"1j7k","ATP",10,435,0,0,""
86,"1ji0","ATP",10,258,0,0,""
87,"1jjv","ATP",10,303,1,0.33003300330033,"S"
88,"1kj8","ATP",10,462,2,0.432900432900433,"S"
89,"1kmn","ATP",10,438,3,0.684931506849315,"S"
90,"1ko5","ATP",10,320,2,0.625,"S"
91,"1kp2","ATP",10,454,3,0.66079295154185,"S"
92,"1kp8","ATP",10,434,3,0.691244239631336,"S"
93,"1kvk","ATP",10,396,2,0.505050505050505,"S"
94,"1lhr","ATP",10,459,5,1.08932461873638,"S"
95,"1m83","ATP",10,492,3,0.609756097560976,"S"
96,"1miw","ATP",10,369,0,0,""
97,"1mjh","ATP",10,430,2,0.465116279069767,"S"
98,"1n5i","ATP",10,178,1,0.561797752808989,"S"
99,"1nsf","ATP",10,402,1,0.248756218905473,"S"
100,"1o9t","ATP",10,221,1,0.452488687782805,"S"
101,"1q97","ATP",10,389,1,0.25706940874036,"S"
102,"1qhg","ATP",10,354,0,0,""
103,"1qhx","ATP",10,369,4,1.0840108401084,"S"
104,"1r0x","ATP",10,327,2,0.611620795107034,"S"
105,"1rdq","ATP",10,481,3,0.623700623700624,"S"
106,"1ryr","ATP",10,302,1,0.33112582781457,"S"
107,"1su2","ATP",10,258,1,0.387596899224806,"S"
108,"1tid","ATP",10,405,0,0,""
109,"1uev","ATP",10,473,1,0.211416490486258,"S"
110,"1uf9","ATP",10,317,0,0,""
111,"1v1b","ATP",10,429,0,0,""
112,"1x01","ATP",10,387,0,0,""
113,"2a5y","ATP",10,472,6,1.27118644067797,"S"
114,"2aqx","ATP",10,437,2,0.45766590389016,"S"
115,"2bu2","ATP",10,391,1,0.255754475703325,"S"
116,"2cg9","ATP",10,481,2,0.415800415800416,"S"
117,"2cja","ATP",10,465,3,0.645161290322581,"S"
118,"2ddo","ATP",10,447,4,0.894854586129754,"S"
119,"2e5y","ATP",10,289,0,0,""
120,"2eww","ATP",10,367,0,0,""
121,"2faq","ATP",10,359,2,0.557103064066852,"S"
122,"2fsg","ATP",10,286,0,0,""
123,"2gbl","ATP",10,323,1,0.309597523219814,"S"
124,"2hmu","ATP",10,320,0,0,""
125,"2ily","ATP",10,358,1,0.279329608938547,"S"
126,"2ixe","ATP",10,267,1,0.374531835205993,"S"
127,"2j3m","ATP",10,489,4,0.81799591002045,"S"
128,"2j9l","ATP",10,306,1,0.326797385620915,"S"
129,"2npi","ATP",10,474,0,0,""
130,"2nt8","ATP",10,259,0,0,""
131,"2nvu","ATP",10,429,3,0.699300699300699,"S"
132,"2nyj","ATP",10,250,0,0,""
133,"2o0h","ATP",10,327,1,0.305810397553517,"S"
134,"2ogx","ATP",10,466,0,0,""
135,"2oh5","ATP",10,192,0,0,""
136,"2p09","ATP",10,245,4,1.63265306122449,"S"
137,"2pbz","ATP",10,415,0,0,""
138,"2q7g","ATP",10,370,5,1.35135135135135,"S"
139,"1a8p","FAD",10,431,2,0.464037122969838,"S"
140,"1b37","FAD",10,809,3,0.370828182941904,"S"
141,"1b5t","FAD",10,538,2,0.371747211895911,"S"
142,"1bf3","FAD",10,711,3,0.421940928270042,"S"
143,"1c0i","FAD",10,750,3,0.4,"S"
144,"1cf3","FAD",10,770,3,0.38961038961039,"S"
145,"1cqx","FAD",10,513,1,0.194931773879142,"S"
146,"1d4c","FAD",10,766,5,0.652741514360313,"S"
147,"1e8g","FAD",10,741,5,0.67476383265857,"S"
148,"1efp","FAD",10,415,1,0.240963855421687,"S"
149,"1el7","FAD",10,777,6,0.772200772200772,"S"
150,"1ep1","FAD",10,470,6,1.27659574468085,"S"
151,"1evi","FAD",10,754,2,0.26525198938992,"S"
152,"1f0x","FAD",10,716,5,0.698324022346369,"S"
153,"1f3p","FAD",10,686,1,0.145772594752187,"S"
154,"1f8r","FAD",10,797,6,0.752823086574655,"S"
155,"1fcd","FAD",10,734,5,0.681198910081744,"S"
156,"1foh","FAD",10,668,6,0.898203592814371,"S"
157,"1gos","FAD",10,769,6,0.780234070221066,"S"
158,"1gt8","FAD",10,730,4,0.547945205479452,"S"
159,"1gv4","FAD",10,733,3,0.409276944065484,"S"
160,"1h69","FAD",10,406,3,0.738916256157635,"S"
161,"1hsk","FAD",10,669,4,0.597907324364723,"S"
162,"1i19","FAD",10,758,8,1.05540897097625,"S"
163,"1i8t","FAD",10,722,3,0.415512465373961,"S"
164,"1iqr","FAD",10,631,2,0.316957210776545,"S"
165,"1is2","FAD",10,455,3,0.659340659340659,"S"
166,"1jqi","FAD",10,442,1,0.226244343891403,"S"
167,"1jr8","FAD",10,482,5,1.03734439834025,"S"
168,"1jsc","FAD",10,564,3,0.531914893617021,"S"
169,"1ju2","FAD",10,832,2,0.240384615384615,"S"
170,"1krh","FAD",10,494,4,0.809716599190283,"S"
171,"1lvl","FAD",10,659,5,0.758725341426404,"S"
172,"1mbb","FAD",10,719,1,0.139082058414465,"S"
173,"1mo9","FAD",10,683,5,0.732064421669107,"S"
174,"1n5w","FAD",10,315,1,0.317460317460317,"S"
175,"1ng4","FAD",10,745,7,0.939597315436242,"S"
176,"1o2b","FAD",10,240,0,0,""
177,"1p3y","FAD",10,330,4,1.21212121212121,"S"
178,"1pj5","FAD",10,751,4,0.532623169107856,"S"
179,"1pox","FAD",10,633,2,0.315955766192733,"S"
180,"1ps9","FAD",10,694,3,0.432276657060519,"S"
181,"1r2j","FAD",10,471,6,1.27388535031847,"S"
182,"1rp4","FAD",10,589,4,0.67911714770798,"S"
183,"1rz1","FAD",10,436,0,0,""
184,"1sez","FAD",10,657,2,0.30441400304414,"S"
185,"1y56","FAD",10,730,6,0.821917808219178,"S"
186,"1yqz","FAD",10,651,2,0.307219662058372,"S"
187,"1z6l","FAD",10,811,5,0.61652281134402,"S"
188,"2axr","FAD",10,725,3,0.413793103448276,"S"
189,"2b3d","FAD",10,415,1,0.240963855421687,"S"
190,"2b9w","FAD",10,759,5,0.658761528326746,"S"
191,"2bra","FAD",10,648,3,0.462962962962963,"S"
192,"2bvf","FAD",10,715,4,0.55944055944056,"S"
193,"2c0u","FAD",10,505,1,0.198019801980198,"S"
194,"2cfa","FAD",10,291,1,0.343642611683849,"S"
195,"2cul","FAD",10,682,4,0.586510263929619,"S"
196,"2cvj","FAD",10,513,1,0.194931773879142,"S"
197,"2cz8","FAD",10,218,0,0,""
198,"2exr","FAD",10,715,0,0,""
199,"2f5v","FAD",10,800,8,1,"S"
200,"2fg9","FAD",10,223,2,0.896860986547085,"S"
201,"2g37","FAD",10,549,1,0.182149362477231,"S"
202,"2gag","FAD",10,753,4,0.531208499335989,"S"
203,"2gj3","FAD",10,455,2,0.43956043956044,"S"
204,"2gmh","FAD",10,816,8,0.980392156862745,"S"
205,"2gpj","FAD",10,544,1,0.183823529411765,"S"
206,"2gqf","FAD",10,688,2,0.290697674418605,"S"
207,"2gv8","FAD",10,752,2,0.265957446808511,"S"
208,"2hq9","FAD",10,302,1,0.33112582781457,"S"
209,"2hti","FAD",10,259,0,0,""
210,"2i0z","FAD",10,694,2,0.288184438040346,"S"
211,"2ipi","FAD",10,660,4,0.606060606060606,"S"
212,"2ivd","FAD",10,687,2,0.291120815138282,"S"
213,"2jae","FAD",10,798,7,0.87719298245614,"S"
214,"2ok7","FAD",10,404,4,0.99009900990099,"S"
215,"2uuu","FAD",10,680,7,1.02941176470588,"S"
216,"3grs","FAD",10,643,5,0.777604976671851,"S"
217,"4o8a","FAD",10,730,3,0.410958904109589,"S"
218,"1ag9","FMN",10,396,3,0.757575757575758,"S"
219,"1bwk","FMN",10,530,1,0.188679245283019,"S"
220,"1d3g","FMN",10,588,0,0,""
221,"1dnl","FMN",10,319,0,0,""
222,"1dor","FMN",10,535,4,0.747663551401869,"S"
223,"1ds7","FMN",10,301,1,0.332225913621262,"S"
224,"1e5d","FMN",10,292,2,0.684931506849315,"S"
225,"1ea0","FMN",10,523,7,1.33843212237094,"S"
226,"1eje","FMN",10,451,2,0.443458980044346,"S"
227,"1f5v","FMN",10,326,1,0.306748466257669,"S"
228,"1fla","FMN",10,298,3,1.00671140939597,"S"
229,"1g28","FMN",10,443,1,0.225733634311512,"S"
230,"1g63","FMN",10,304,4,1.31578947368421,"S"
231,"1he4","FMN",10,293,3,1.02389078498294,"S"
232,"1i0r","FMN",10,440,4,0.909090909090909,"S"
233,"1ja1","FMN",10,425,2,0.470588235294118,"S"
234,"1kbi","FMN",10,527,2,0.379506641366224,"S"
235,"1mvl","FMN",10,289,3,1.03806228373702,"S"
236,"1nfp","FMN",10,237,1,0.421940928270042,"S"
237,"1nni","FMN",10,284,0,0,""
238,"1nox","FMN",10,288,1,0.347222222222222,"S"
239,"1p4c","FMN",10,511,1,0.195694716242661,"S"
240,"1p4m","FMN",10,393,2,0.508905852417303,"S"
241,"1rlj","FMN",10,330,0,0,""
242,"1t0i","FMN",10,312,3,0.961538461538462,"S"
243,"1t57","FMN",10,416,1,0.240384615384615,"S"
244,"1t5b","FMN",10,322,1,0.31055900621118,"S"
245,"1t6y","FMN",10,322,2,0.62111801242236,"S"
246,"1um0","FMN",10,412,3,0.728155339805825,"S"
247,"1usc","FMN",10,474,2,0.421940928270042,"S"
248,"1vhn","FMN",10,430,1,0.232558139534884,"S"
249,"1x77","FMN",10,285,0,0,""
250,"1y30","FMN",10,270,1,0.37037037037037,"S"
251,"1yrh","FMN",10,308,0,0,""
252,"2b67","FMN",10,283,0,0,""
253,"2d37","FMN",10,371,1,0.269541778975741,"S"
254,"2d5m","FMN",10,442,2,0.452488687782805,"S"
255,"2fre","FMN",10,319,0,0,""
256,"2gjl","FMN",10,505,7,1.38613861386139,"S"
257,"2h0u","FMN",10,230,2,0.869565217391304,"S"
258,"2h8x","FMN",10,440,4,0.909090909090909,"S"
259,"2hfn","FMN",10,405,1,0.246913580246914,"S"
260,"2i02","FMN",10,295,0,0,""
261,"2i51","FMN",10,310,1,0.32258064516129,"S"
262,"2i7h","FMN",10,267,2,0.749063670411985,"S"
263,"2ifa","FMN",10,272,0,0,""
264,"2ig6","FMN",10,283,2,0.706713780918728,"S"
265,"2iml","FMN",10,395,0,0,""
266,"2isj","FMN",10,371,1,0.269541778975741,"S"
267,"2iyg","FMN",10,405,2,0.493827160493827,"S"
268,"2jbs","FMN",10,392,2,0.510204081632653,"S"
269,"2ohh","FMN",10,283,4,1.41342756183746,"S"
270,"2ou5","FMN",10,304,0,0,""
271,"2oys","FMN",10,273,0,0,""
272,"2pia","FMN",10,478,6,1.25523012552301,"S"
273,"2ptf","FMN",10,334,0,0,""
274,"2uv8","FMN",10,536,4,0.746268656716418,"S"
275,"1a47","GLC",10,151,0,0,""
276,"1a65","GLC",10,144,0,0,""
277,"1af6","GLC",10,255,0,0,""
278,"1anf","GLC",10,319,2,0.626959247648903,"S"
279,"1b1y","GLC",10,328,3,0.914634146341463,"S"
280,"1b2y","GLC",10,259,1,0.386100386100386,"S"
281,"1bag","GLC",10,181,0,0,""
282,"1bdg","GLC",10,363,2,0.550964187327824,"S"
283,"1bg9","GLC",10,169,1,0.591715976331361,"S"
284,"1c1l","GLC",10,156,0,0,""
285,"1cel","GLC",10,166,0,0,""
286,"1cen","GLC",10,205,1,0.48780487804878,"S"
287,"1cq1","GLC",10,266,0,0,""
288,"1e3z","GLC",10,225,1,0.444444444444444,"S"
289,"1e55","GLC",10,372,1,0.268817204301075,"S"
290,"1ece","GLC",10,194,0,0,""
291,"1elj","GLC",10,286,2,0.699300699300699,"S"
292,"1f9d","GLC",10,267,0,0,""
293,"1ga2","GLC",10,204,1,0.490196078431373,"S"
294,"1geg","GLC",10,134,0,0,""
295,"1gwm","GLC",10,88,0,0,""
296,"1gww","GLC",10,274,2,0.72992700729927,"S"
297,"1hgy","GLC",10,167,1,0.598802395209581,"S"
298,"1i82","GLC",10,180,0,0,""
299,"1ieq","GLC",10,163,0,0,""
300,"1itc","GLC",10,321,3,0.934579439252336,"S"
301,"1j0i","GLC",10,171,1,0.584795321637427,"S"
302,"1jdc","GLC",10,161,0,0,""
303,"1jg9","GLC",10,361,1,0.277008310249307,"S"
304,"1k1w","GLC",10,325,0,0,""
305,"1k3i","GLC",10,205,0,0,""
306,"1k7v","GLC",10,171,5,2.92397660818713,"S"
307,"1kwf","GLC",10,182,0,0,""
308,"1mmu","GLC",10,283,0,0,""
309,"1muy","GLC",10,222,1,0.45045045045045,"S"
310,"1mxd","GLC",10,189,0,0,""
311,"1nf5","GLC",10,222,2,0.900900900900901,"S"
312,"1ofc","GLC",10,95,0,0,""
313,"1ogo","GLC",10,192,0,0,""
314,"1pwb","GLC",10,162,0,0,""
315,"1q33","GLC",10,283,1,0.353356890459364,"S"
316,"1rmg","GLC",10,151,0,0,""
317,"1s5m","GLC",10,366,2,0.546448087431694,"S"
318,"1tyw","GLC",10,200,0,0,""
319,"1u2s","GLC",10,302,0,0,""
320,"1ulc","GLC",10,115,0,0,""
321,"1uoz","GLC",10,302,6,1.98675496688742,"S"
322,"1v2b","GLC",10,224,0,0,""
323,"1w9w","GLC",10,207,1,0.483091787439614,"S"
324,"1woq","GLC",10,291,0,0,""
325,"1ww4","GLC",10,137,0,0,""
326,"1yw1","GLC",10,202,0,0,""
327,"1zm1","GLC",10,185,0,0,""
328,"2a0z","GLC",10,83,0,0,""
329,"2aep","GLC",10,183,1,0.546448087431694,"S"
330,"2b3b","GLC",10,379,2,0.527704485488127,"S"
331,"2bhy","GLC",10,175,0,0,""
332,"2bis","GLC",10,123,0,0,""
333,"2bs5","GLC",10,187,1,0.53475935828877,"S"
334,"2bvl","GLC",10,320,1,0.3125,"S"
335,"2bwa","GLC",10,268,1,0.373134328358209,"S"
336,"2ch6","GLC",10,270,0,0,""
337,"2cn3","GLC",10,134,0,0,""
338,"2dwj","GLC",10,190,0,0,""
339,"2e2o","GLC",10,337,0,0,""
340,"2esr","GLC",10,240,0,0,""
341,"2evs","GLC",10,240,1,0.416666666666667,"S"
342,"2f2e","GLC",10,191,0,0,""
343,"2fh6","GLC",10,247,2,0.809716599190283,"S"
344,"2gbp","GLC",10,380,2,0.526315789473684,"S"
345,"2gdv","GLC",10,333,0,0,""
346,"2gvy","GLC",10,166,0,0,""
347,"2hrl","GLC",10,145,3,2.06896551724138,"S"
348,"2j44","GLC",10,156,0,0,""
349,"2jen","GLC",10,260,1,0.384615384615385,"S"
350,"2nn8","GLC",10,207,1,0.483091787439614,"S"
351,"2osx","GLC",10,287,0,0,""
352,"19hc","HEM",10,370,7,1.89189189189189,"S"
353,"1a7v","HEM",10,495,3,0.606060606060606,"S"
354,"1aj9","HEM",10,455,3,0.659340659340659,"S"
355,"1akd","HEM",10,628,4,0.636942675159236,"S"
356,"1aqa","HEM",10,314,0,0,""
357,"1aqe","HEM",10,345,9,2.60869565217391,"S"
358,"1ash","HEM",10,485,3,0.618556701030928,"S"
359,"1atj","HEM",10,612,4,0.65359477124183,"S"
360,"1b0b","HEM",10,441,3,0.680272108843537,"S"
361,"1b7v","HEM",10,366,3,0.819672131147541,"S"
362,"1bbh","HEM",10,498,6,1.20481927710843,"S"
363,"1bcf","HEM",10,229,1,0.436681222707424,"S"
364,"1bin","HEM",10,436,0,0,""
365,"1bvb","HEM",10,498,4,0.803212851405622,"S"
366,"1c52","HEM",10,530,3,0.566037735849057,"S"
367,"1c6o","HEM",10,456,4,0.87719298245614,"S"
368,"1cc5","HEM",10,436,6,1.37614678899083,"S"
369,"1cch","HEM",10,411,4,0.97323600973236,"S"
370,"1cfm","HEM",10,520,4,0.769230769230769,"S"
371,"1cgn","HEM",10,474,3,0.632911392405063,"S"
372,"1cl6","HEM",10,604,7,1.15894039735099,"S"
373,"1cpq","HEM",10,485,6,1.23711340206186,"S"
374,"1cpt","HEM",10,650,4,0.615384615384615,"S"
375,"1d0c","HEM",10,532,3,0.56390977443609,"S"
376,"1d7c","HEM",10,356,1,0.280898876404494,"S"
377,"1dk0","HEM",10,351,1,0.284900284900285,"S"
378,"1dm1","HEM",10,443,1,0.225733634311512,"S"
379,"1dse","HEM",10,627,4,0.637958532695375,"S"
380,"1dve","HEM",10,484,2,0.413223140495868,"S"
381,"1dw0","HEM",10,504,4,0.793650793650794,"S"
382,"1e9x","HEM",10,564,5,0.886524822695035,"S"
383,"1eca","HEM",10,428,1,0.233644859813084,"S"
384,"1egy","HEM",10,584,3,0.513698630136986,"S"
385,"1eqg","HEM",10,558,1,0.17921146953405,"S"
386,"1etp","HEM",10,502,4,0.796812749003984,"S"
387,"1ew0","HEM",10,525,3,0.571428571428571,"S"
388,"1ew6","HEM",10,460,4,0.869565217391304,"S"
389,"1ezv","HEM",10,577,7,1.21317157712305,"S"
390,"1f4t","HEM",10,629,2,0.317965023847377,"S"
391,"1fft","HEM",10,598,5,0.836120401337793,"S"
392,"1fgj","HEM",10,392,5,1.27551020408163,"S"
393,"1fs7","HEM",10,584,5,0.856164383561644,"S"
394,"1ft9","HEM",10,275,6,2.18181818181818,"S"
395,"1gwe","HEM",10,638,1,0.156739811912226,"S"
396,"1hbg","HEM",10,433,5,1.15473441108545,"S"
397,"1hbi","HEM",10,465,2,0.43010752688172,"S"
398,"1hlb","HEM",10,435,3,0.689655172413793,"S"
399,"1i77","HEM",10,330,6,1.81818181818182,"S"
400,"1idr","HEM",10,488,3,0.614754098360656,"S"
401,"1iqc","HEM",10,623,3,0.481540930979133,"S"
402,"1ith","HEM",10,431,3,0.696055684454756,"S"
403,"1iw0","HEM",10,458,3,0.655021834061135,"S"
404,"1izo","HEM",10,646,5,0.773993808049536,"S"
405,"1j77","HEM",10,467,3,0.642398286937901,"S"
406,"1jju","HEM",10,463,4,0.863930885529158,"S"
407,"1jni","HEM",10,289,5,1.73010380622837,"S"
408,"1kfr","HEM",10,501,3,0.598802395209581,"S"
409,"1kqf","HEM",10,505,2,0.396039603960396,"S"
410,"1kr7","HEM",10,454,2,0.440528634361233,"S"
411,"1kv9","HEM",10,523,3,0.573613766730402,"S"
412,"1lfk","HEM",10,636,9,1.41509433962264,"S"
413,"1lm3","HEM",10,437,2,0.45766590389016,"S"
414,"1mg2","HEM",10,408,7,1.7156862745098,"S"
415,"1mz4","HEM",10,522,4,0.766283524904215,"S"
416,"1n40","HEM",10,618,6,0.970873786407767,"S"
417,"1n97","HEM",10,629,2,0.317965023847377,"S"
418,"1naz","HEM",10,479,1,0.208768267223382,"S"
419,"1ngk","HEM",10,555,4,0.720720720720721,"S"
420,"1np4","HEM",10,526,2,0.380228136882129,"S"
421,"1ntf","HEM",10,464,1,0.21551724137931,"S"
422,"1o9x","HEM",10,441,3,0.680272108843537,"S"
423,"1oj6","HEM",10,440,2,0.454545454545455,"S"
424,"1or4","HEM",10,470,5,1.06382978723404,"S"
425,"1pkf","HEM",10,580,3,0.517241379310345,"S"
426,"1po5","HEM",10,526,3,0.570342205323194,"S"
427,"1pp9","HEM",10,595,4,0.672268907563025,"S"
428,"1q16","HEM",10,444,3,0.675675675675676,"S"
429,"1qhu","HEM",10,404,1,0.247524752475248,"S"
430,"1qpa","HEM",10,606,6,0.99009900990099,"S"
431,"1rwj","HEM",10,352,7,1.98863636363636,"S"
432,"1s5l","HEM",10,172,0,0,""
433,"1sox","HEM",10,413,0,0,""
434,"1tqn","HEM",10,617,6,0.972447325769854,"S"
435,"1v9y","HEM",10,442,0,0,""
436,"1z9n","HEM",10,108,2,1.85185185185185,"S"
437,"2aiu","HEM",10,516,3,0.581395348837209,"S"
438,"2bs2","HEM",10,537,5,0.931098696461825,"S"
439,"2c0k","HEM",10,462,2,0.432900432900433,"S"
440,"2cpo","HEM",10,655,3,0.458015267175573,"S"
441,"2cy3","HEM",10,335,7,2.08955223880597,"S"
442,"2d0t","HEM",10,626,3,0.479233226837061,"S"
443,"2d2m","HEM",10,462,1,0.216450216450216,"S"
444,"2d3q","HEM",10,662,2,0.302114803625378,"S"
445,"2dv1","HEM",10,655,3,0.458015267175573,"S"
446,"2efb","HEM",10,661,2,0.302571860816944,"S"
447,"2fmy","HEM",10,320,2,0.625,"S"
448,"2fr7","HEM",10,660,5,0.757575757575758,"S"
449,"2fw5","HEM",10,342,5,1.46198830409357,"S"
450,"2g5g","HEM",10,199,0,0,""
451,"2gtl","HEM",10,475,0,0,""
452,"2hi4","HEM",10,660,6,0.909090909090909,"S"
453,"2iag","HEM",10,608,5,0.822368421052632,"S"
454,"2ig3","HEM",10,512,2,0.390625,"S"
455,"2iiz","HEM",10,531,1,0.188323917137476,"S"
456,"2itf","HEM",10,120,0,0,""
457,"2ivf","HEM",10,484,5,1.03305785123967,"S"
458,"2j0p","HEM",10,508,3,0.590551181102362,"S"
459,"2nox","HEM",10,573,6,1.04712041884817,"S"
460,"2nwb","HEM",10,628,2,0.318471337579618,"S"
461,"2o09","HEM",10,559,5,0.894454382826476,"S"
462,"2o6p","HEM",10,375,2,0.533333333333333,"S"
463,"2oyy","HEM",10,284,0,0,""
464,"1a9y","NAD",10,608,2,0.328947368421053,"S"
465,"1ad3","NAD",10,443,1,0.225733634311512,"S"
466,"1arz","NAD",10,528,2,0.378787878787879,"S"
467,"1b14","NAD",10,551,2,0.362976406533575,"S"
468,"1b3r","NAD",10,484,5,1.03305785123967,"S"
469,"1b8u","NAD",10,526,3,0.570342205323194,"S"
470,"1bdb","NAD",10,545,1,0.18348623853211,"S"
471,"1bvr","NAD",10,569,6,1.05448154657293,"S"
472,"1bw9","NAD",10,481,5,1.03950103950104,"S"
473,"1bxk","NAD",10,611,2,0.327332242225859,"S"
474,"1cwu","NAD",10,585,2,0.341880341880342,"S"
475,"1dhr","NAD",10,546,7,1.28205128205128,"S"
476,"1dli","NAD",10,549,2,0.364298724954463,"S"
477,"1do8","NAD",10,570,0,0,""
478,"1ebf","NAD",10,450,0,0,""
479,"1ee9","NAD",10,490,4,0.816326530612245,"S"
480,"1ej2","NAD",10,543,3,0.552486187845304,"S"
481,"1f0y","NAD",10,537,3,0.558659217877095,"S"
482,"1fk8","NAD",10,500,3,0.6,"S"
483,"1giq","NAD",10,435,2,0.459770114942529,"S"
484,"1gr0","NAD",10,666,4,0.600600600600601,"S"
485,"1gzf","NAD",10,505,1,0.198019801980198,"S"
486,"1h2h","NAD",10,445,1,0.224719101123595,"S"
487,"1hex","NAD",10,376,0,0,""
488,"1hsz","NAD",10,593,3,0.505902192242833,"S"
489,"1hwy","NAD",10,531,3,0.564971751412429,"S"
490,"1ib0","NAD",10,396,5,1.26262626262626,"S"
491,"1jq5","NAD",10,596,2,0.335570469798658,"S"
492,"1k4m","NAD",10,574,1,0.174216027874564,"S"
493,"1k6x","NAD",10,499,2,0.400801603206413,"S"
494,"1kae","NAD",10,483,0,0,""
495,"1kol","NAD",10,668,3,0.449101796407186,"S"
496,"1kqn","NAD",10,622,4,0.643086816720257,"S"
497,"1kyq","NAD",10,282,1,0.354609929078014,"S"
498,"1lj8","NAD",10,548,3,0.547445255474453,"S"
499,"1llu","NAD",10,604,4,0.662251655629139,"S"
500,"1lss","NAD",10,307,3,0.977198697068404,"S"
